Experiment start. 

Data :	 1
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.625000	 taskstep variance 0.517549	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.500000	 robotstep variance 1.603567	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.625000	 taskstep variance 0.517549	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.250000	 robotstep variance 1.035098	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.625000	 taskstep variance 0.517549	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.500000	 robotstep variance 1.603567	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.625000	 taskstep variance 0.517549	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.250000	 robotstep variance 1.035098	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 6.000000	 taskstep mean 4.625000	 taskstep variance 1.060660	 total taskstep 6.000000	 robotstep 29.000000	 robotstep mean 27.875000	 robotstep variance 0.834523	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 5.000000	 taskstep mean 4.375000	 taskstep variance 0.744024	 total taskstep 5.000000	 robotstep 31.000000	 robotstep mean 28.250000	 robotstep variance 1.669046	 total robotstep 31.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.125000	 robotstep variance 1.642081	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.755929	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.302470	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.755929	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.625000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.625000	 taskstep variance 0.517549	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.500000	 robotstep variance 1.603567	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.060660	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.375000	 taskstep variance 0.744024	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.125000	 robotstep variance 1.642081	 total robotstep 29.000000
SAPOAads Algorithm :	 taskstep 4.000000	 taskstep mean 3.500000	 taskstep variance 0.755929	 total taskstep 4.000000	 robotstep 29.000000	 robotstep mean 27.375000	 robotstep variance 1.302470	 total robotstep 29.000000
